Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
140,1,13.0,0.006891264359389701,-1.9273485265565657,56.64553470426654,31.364,36.748000000000005,6.062455147048613,25.595472834100793,0.34387695533700813,-4.977500704349191
140,2,38.0,0.010938894039914868,-1.4373862311692134,50.92290999256697,41.232,34.32,5.379389443217857,26.850243221900865,0.410991069791973,-4.515430580342182
140,3,63.0,0.013595691807900238,-1.252350148982565,55.82088122709777,35.436,31.48,5.595234988592435,25.982776500255476,0.20083506482733837,-4.298002315256008
141,1,13.0,0.015427841913577373,-1.6687473398997101,61.856045539010765,25.988000000000003,44.11600000000001,4.16696971142265,17.990725792052753,0.14523250548900044,-4.171581485410369
141,2,38.0,0.007913853573060039,-1.7756584450091706,55.45830964760284,33.144,39.52,4.3773130833927505,18.132098979359025,0.20800521374830067,-4.839140438456938
141,3,63.0,0.006880495324899844,-1.1726791217994632,46.07497073731767,44.092,25.055999999999997,4.475324538583538,17.62198389226091,0.17047872702719163,-4.97906463473016
142,1,13.0,0.00793388534865323,-1.38168040891407,55.56567747065277,32.048,27.928,4.9744885402812296,9.117768541458563,0.025960631137868517,-4.836612407630504
142,2,38.0,0.005318799339890598,-1.3515841619476574,53.436719048315425,35.568000000000005,28.772,5.194412820347181,9.09926340381258,0.03500882518040588,-5.23650768909044
142,3,63.0,0.003928013141580391,-1.8838203358466163,54.38692940496308,33.135999999999996,30.02,5.480408568873927,8.945460375618861,0.039512652512229664,-5.539621542879325
144,1,12.5,0.025006497935472615,-1.4978988980997336,57.12650923907819,29.662499999999998,34.1,6.780473759237335,13.611202783911411,0.07218289429245661,-3.6886195704677123
144,2,37.0,0.020073804811051126,-1.113916893242187,56.80848332279432,39.324,31.064,6.642283141356958,14.20347562680344,0.058869472489521055,-3.908339557108404
144,3,62.5,0.014468137032254478,-1.7857855634791646,55.900739013963076,35.330769230769235,36.05,6.128146906870463,13.943385726760237,0.11452648215339949,-4.235806493534424
145,1,13.0,0.01447172291126532,-1.4995148932077242,54.7028588908695,33.348,32.988,5.507192246645822,18.50788779023175,0.12540392439581102,-4.235558677612979
145,2,38.0,0.006350760893401084,-1.0941407271328132,44.979206545938695,46.068000000000005,22.576,4.984325345771801,18.248260756587037,0.2261493946022006,-5.059180647523612
145,3,63.0,0.009930530792950254,-2.0234292863678065,63.70726048712308,30.048000000000002,40.952,5.255278099599907,19.501311816254677,0.17335769066394766,-4.6121413488843315
146,1,13.0,0.05258616670991735,-1.4663809226676596,58.07572474225278,33.428000000000004,34.008,5.651918155819333,17.056930912558542,0.12744328678298467,-2.9453021841322413
146,2,38.0,0.037272758572454254,-1.6229388832710347,50.64336375546616,34.908,31.1,6.4801816143403,16.566851457501862,0.222707644227607,-3.289492552333734
146,3,63.0,0.050886890958193494,-1.5277651007696493,54.670237426212346,36.524,31.448,6.772363757548901,16.864639088060688,0.13681653133285485,-2.9781499336217436
147,1,13.0,0.05702278103987313,-1.4252958879379054,53.00233090813797,29.26086956521739,35.721739130434784,6.918963703197367,14.014520376129827,0.11634373798887307,-2.86430442362712
147,2,38.0,0.03874452243826984,-1.6487618008085942,62.65162486514778,25.348000000000003,38.108,6.22134901262824,14.182238098381802,0.06761602825367652,-3.250765889606289
147,3,63.0,0.034574650131163474,-1.5430272179618445,47.73537015064553,40.28,25.372,5.897524461668217,13.674391891955558,0.1214291014123888,-3.3646345206101067
148,1,13.0,0.003500069814620324,-1.5617315132959533,53.7296545031125,33.65,33.416666666666664,8.374055123351287,19.14173341441667,0.21404523575078233,-5.65497236365133
148,2,38.0,0.005525448367516938,-0.9314918900803747,51.9859823879014,46.4,31.3,7.269716300795657,21.468795507727332,0.2068759446593638,-5.198390882379252
148,3,63.0,0.0026132273986141153,-2.1238615033320163,57.67368903291738,30.704,42.836000000000006,5.94557538275032,20.366859442128405,0.28810212451578054,-5.947169270354145
